protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
87,2.55E-18,2.55E-18,-2.69E-15,-2.69E-16,-3.77E-17,2.53E-18,1.33E-17,2.23E-18,1.81E-18,7.66E-19,1.89E-18,2.60E-18,1.69E-18,1.72E-18,1.58E-18,1.55E-18,1.41E-18,1.38E-18,1.31E-18,1.34E-18,1.29E-18
88,8.69E-19,8.69E-19,-8.30E-15,-1.13E-16,4.66E-17,8.30E-19,-1.22E-17,7.61E-19,6.18E-19,1.71E-19,6.45E-19,9.82E-19,8.54E-20,6.46E-19,6.34E-19,4.87E-19,5.38E-19,4.61E-19,4.84E-19,4.44E-19,4.37E-19
89,2.92E-19,2.94E-19,2.64E-15,-2.53E-16,-4.45E-17,2.67E-19,-2.25E-18,2.56E-19,2.82E-19,-1.28E-19,2.17E-19,4.97E-19,2.17E-19,3.57E-21,4.09E-20,2.05E-19,1.46E-19,2.03E-19,1.16E-19,1.33E-19,1.49E-19
90,9.73E-20,9.67E-20,1.56E-14,-4.93E-16,3.16E-17,8.27E-21,-3.47E-18,8.54E-20,6.21E-20,-1.19E-18,7.24E-20,5.54E-19,4.17E-19,2.26E-19,-2.28E-20,4.05E-20,1.05E-19,-7.84E-21,1.02E-19,6.22E-20,5.93E-20
91,3.20E-20,3.28E-20,9.51E-15,2.29E-16,6.36E-17,-4.51E-20,-4.22E-17,2.80E-20,1.06E-19,2.31E-18,2.38E-20,1.41E-19,1.20E-19,-9.38E-21,-2.06E-21,2.87E-20,6.50E-21,-2.97E-20,9.36E-22,-6.87E-21,1.28E-20
92,1.04E-20,1.16E-20,-2.70E-14,-1.84E-16,-5.18E-17,5.71E-20,-3.32E-17,9.21E-21,2.20E-19,2.55E-18,7.80E-21,-4.87E-19,1.34E-19,1.72E-20,-2.11E-19,5.53E-20,1.04E-19,1.55E-20,5.93E-21,9.08E-21,3.04E-20
93,3.36E-21,2.63E-21,2.65E-14,2.25E-16,1.88E-17,-2.43E-19,7.95E-18,2.92E-21,-7.39E-20,-5.85E-19,2.40E-21,-2.85E-19,-1.52E-20,-3.35E-20,-7.25E-20,4.56E-20,-1.79E-20,2.93E-20,1.29E-20,2.61E-20,3.80E-21
94,1.07E-21,2.47E-21,-3.68E-14,-4.92E-16,-1.79E-17,1.96E-19,-4.18E-18,9.56E-22,-1.24E-20,-1.01E-18,8.53E-22,4.72E-19,4.16E-19,3.14E-20,-8.60E-20,-3.33E-20,3.67E-20,-5.56E-20,-6.64E-20,8.90E-22,-4.01E-20
95,3.37E-22,-1.12E-21,-1.62E-14,-1.83E-16,-1.45E-17,-2.53E-20,-6.60E-17,2.76E-22,2.04E-19,2.48E-18,2.71E-22,-1.34E-19,-1.50E-19,-3.81E-22,-4.34E-20,-6.22E-20,-6.73E-20,7.62E-20,-2.26E-20,-2.02E-20,3.33E-20
96,1.05E-22,-9.20E-22,4.24E-15,-1.67E-16,-1.16E-17,-8.91E-20,-1.71E-17,4.60E-23,3.95E-20,5.28E-18,6.66E-23,2.06E-19,2.57E-19,2.15E-20,1.64E-19,3.34E-20,2.24E-21,-7.76E-20,-1.20E-20,-3.58E-20,-3.61E-22
